B,S,O,inning,base_state,P(Swing),P(Contact),P(Whiff),P(Foul),P(Ball),P(Strike),P(Hit),P(Out),P(Struck Out),P(Home Run),P(Extra Base Hit),P(In Play),P(Walk),P(Hit By Pitch),P(Error),P(Sacrifice),Statistically Relevant
0,0,0,1,0-0-0,29.1%,85.4%,14.6%,43.7%,36.7%,51.2%,4.4%,7.6%,0%,0.9%,2.0%,12.1%,0%,0.1%,0.1%,0%,Yes
0,0,0,1,1-0-0,28.4%,78.6%,21.4%,41.5%,38.9%,50.6%,4.1%,6.4%,0%,0.9%,1.8%,10.6%,0%,0.2%,0.0%,0.5%,Yes
0,0,0,1,0-1-0,36.7%,79.0%,21.0%,44.9%,38.6%,48.9%,4.9%,7.6%,0%,0.1%,0.9%,12.5%,0%,0.5%,0%,0.6%,Yes
0,0,0,1,0-0-1,40.4%,68.2%,31.8%,31.8%,33.9%,51.4%,2.8%,11.9%,0%,0.9%,0.9%,14.7%,0%,0%,0%,5.5%,Yes
0,0,0,1,1-1-0,28.2%,74.3%,25.7%,38.3%,40.5%,49.3%,4.2%,5.7%,0%,0.7%,1.8%,10.2%,0%,0.4%,0%,0.5%,Yes
0,0,0,1,1-0-1,36.9%,76.9%,23.1%,41.9%,36.3%,50.8%,5.0%,7.6%,0%,0.6%,1.3%,12.9%,0%,0.6%,0%,2.5%,Yes
0,0,0,1,0-1-1,39.4%,81.2%,18.8%,35.0%,37.4%,44.3%,7.9%,9.9%,0%,1.5%,3.9%,18.2%,0%,0%,0%,2.5%,Yes
0,0,0,1,1-1-1,36.6%,78.9%,21.1%,46.7%,35.8%,52.4%,4.1%,7.7%,0%,0.4%,1.6%,11.8%,0%,0.4%,0%,1.6%,Yes
0,0,0,2,0-0-0,25.7%,79.3%,20.7%,40.3%,36.4%,53.6%,3.5%,6.5%,0%,0.7%,1.4%,10.0%,0%,0.2%,0.1%,0%,Yes
0,0,0,2,1-0-0,28.4%,79.9%,20.1%,39.5%,37.3%,51.2%,3.9%,7.3%,0%,0.5%,1.4%,11.5%,0%,0.2%,0.1%,0.5%,Yes
0,0,0,2,0-1-0,34.2%,78.6%,21.4%,36.2%,36.4%,49.1%,4.3%,10.2%,0%,0.5%,1.5%,14.5%,0%,0.4%,0%,1.9%,Yes
0,0,0,2,1-1-0,32.9%,78.2%,21.8%,30.9%,35.6%,48.9%,5.2%,10.3%,0%,0.6%,1.3%,15.6%,0%,0.5%,0.1%,3.6%,Yes
0,0,0,2,1-0-1,39.2%,75.2%,24.8%,39.0%,39.6%,46.3%,5.2%,8.6%,0%,0.4%,1.9%,14.2%,0%,0.7%,0%,2.2%,Yes
0,0,0,2,0-1-1,38.9%,72.0%,28.0%,41.3%,36.8%,51.3%,4.7%,7.3%,0%,1.0%,1.6%,11.9%,0%,0%,0%,1.6%,Yes
0,0,0,2,1-1-1,44.2%,79.3%,20.7%,46.7%,29.8%,55.8%,5.8%,8.7%,0%,0.5%,1.4%,14.4%,0%,0%,0%,2.4%,Yes
0,0,0,3,0-0-0,27.3%,79.5%,20.5%,40.5%,36.1%,53.2%,3.4%,7.1%,0%,0.6%,1.4%,10.7%,0%,0.2%,0.1%,0%,Yes
0,0,0,3,1-0-0,32.5%,79.8%,20.2%,38.4%,37.4%,49.2%,4.9%,8.0%,0%,0.4%,1.4%,13.4%,0%,0.3%,0.1%,0.8%,Yes
0,0,0,3,0-1-0,37.9%,77.5%,22.5%,35.7%,36.4%,47.7%,5.3%,10.6%,0%,0.6%,1.9%,15.9%,0%,0.2%,0%,1.9%,Yes
0,0,0,3,0-0-1,45.5%,76.5%,23.5%,33.3%,33.9%,46.4%,8.9%,9.8%,0%,0%,2.7%,19.6%,0%,0%,0%,4.5%,Yes
0,0,0,3,1-1-0,33.8%,77.5%,22.5%,34.1%,37.9%,47.4%,4.3%,10.3%,0%,0.7%,2.0%,14.7%,0%,0.1%,0%,2.6%,Yes
0,0,0,3,1-0-1,41.4%,76.7%,23.3%,32.5%,39.7%,42.1%,7.2%,11.0%,0%,0.7%,2.4%,18.3%,0%,0%,0%,3.8%,Yes
0,0,0,3,0-1-1,44.9%,73.3%,26.7%,29.3%,37.7%,42.5%,7.8%,12.0%,0%,2.4%,2.4%,19.8%,0%,0%,0%,3.0%,Yes
0,0,0,3,1-1-1,46.2%,78.4%,21.6%,44.3%,34.8%,49.5%,7.1%,8.1%,0%,1.4%,2.9%,15.7%,0%,0%,0%,3.3%,Yes
0,0,0,4,0-0-0,28.6%,77.5%,22.5%,39.0%,37.0%,52.0%,3.8%,7.1%,0%,0.8%,1.7%,11.0%,0%,0.2%,0.1%,0%,Yes
0,0,0,4,1-0-0,34.0%,78.5%,21.5%,38.5%,38.1%,48.3%,4.5%,9.0%,0%,0.7%,1.7%,13.6%,0%,0.3%,0%,0.6%,Yes
0,0,0,4,0-1-0,40.9%,81.2%,18.8%,38.5%,34.2%,48.4%,4.9%,12.3%,0%,0.8%,2.0%,17.4%,0%,0%,0.1%,1.6%,Yes
0,0,0,4,0-0-1,53.4%,81.8%,18.2%,47.3%,31.1%,50.5%,8.7%,9.7%,0%,1.0%,2.9%,18.4%,0%,0%,0%,3.9%,Yes
0,0,0,4,1-1-0,36.3%,76.0%,24.0%,33.0%,38.2%,46.2%,5.0%,10.3%,0%,1.0%,1.8%,15.6%,0%,0.1%,0%,2.7%,Yes
0,0,0,4,1-0-1,46.9%,77.4%,22.6%,37.7%,32.8%,48.6%,9.3%,8.0%,0%,1.3%,3.5%,18.6%,0%,0%,0%,3.5%,Yes
0,0,0,4,0-1-1,40.7%,80.5%,19.5%,54.5%,39.7%,49.7%,4.2%,6.3%,0%,0.5%,1.1%,10.6%,0%,0%,0%,3.7%,Yes
0,0,0,4,1-1-1,42.0%,69.1%,30.9%,29.6%,38.9%,44.6%,4.1%,11.4%,0%,1.6%,2.1%,16.6%,0%,0.5%,0%,4.7%,Yes
0,0,0,5,0-0-0,29.3%,77.3%,22.7%,38.9%,36.9%,51.8%,3.7%,7.4%,0%,0.6%,1.4%,11.3%,0%,0.2%,0.1%,0%,Yes
0,0,0,5,1-0-0,34.5%,77.8%,22.2%,37.4%,36.9%,49.1%,4.9%,8.9%,0%,0.5%,1.6%,13.9%,0%,0.4%,0%,1.4%,Yes
0,0,0,5,0-1-0,38.2%,78.2%,21.8%,34.4%,37.8%,45.4%,4.8%,11.9%,0%,0.6%,1.5%,16.7%,0%,0.4%,0%,2.1%,Yes
0,0,0,5,1-1-0,33.2%,77.5%,22.5%,36.4%,39.2%,47.2%,4.2%,9.3%,0%,0.7%,1.3%,13.6%,0%,0.2%,0%,2.8%,Yes
0,0,0,5,1-0-1,41.5%,80.2%,19.8%,42.7%,38.3%,46.2%,5.1%,10.1%,0%,0.9%,2.2%,15.5%,0%,0.3%,0.3%,2.8%,Yes
0,0,0,5,0-1-1,44.5%,86.4%,13.6%,34.6%,39.6%,37.4%,8.2%,13.7%,0%,1.6%,4.4%,23.1%,0%,0%,1.1%,4.9%,Yes
0,0,0,5,1-1-1,41.1%,75.0%,25.0%,35.9%,38.4%,45.5%,4.5%,11.2%,0%,0%,0.4%,16.1%,0%,0%,0%,2.2%,Yes
0,0,0,6,0-0-0,29.4%,77.3%,22.7%,39.8%,37.4%,51.6%,3.7%,7.1%,0%,0.7%,1.6%,11.0%,0%,0.3%,0.2%,0%,Yes
0,0,0,6,1-0-0,32.4%,77.5%,22.5%,38.3%,38.4%,48.9%,4.0%,8.4%,0%,0.5%,1.3%,12.7%,0%,0.3%,0.1%,0.7%,Yes
0,0,0,6,0-1-0,38.5%,78.5%,21.5%,31.3%,37.3%,44.6%,6.5%,11.3%,0%,0.7%,2.2%,18.1%,0%,0.6%,0.1%,1.8%,Yes
0,0,0,6,0-0-1,41.4%,76.1%,23.9%,41.3%,42.3%,43.2%,2.7%,11.7%,0%,0%,0%,14.4%,0%,0.9%,0%,1.8%,Yes
0,0,0,6,1-1-0,36.4%,78.1%,21.9%,37.8%,33.6%,51.7%,3.9%,10.7%,0%,0.7%,1.5%,14.7%,0%,0.1%,0.1%,2.8%,Yes
0,0,0,6,1-0-1,45.7%,75.9%,24.1%,35.3%,32.6%,48.8%,7.9%,10.7%,0%,1.0%,3.1%,18.6%,0%,0.3%,0%,1.7%,Yes
0,0,0,6,0-1-1,40.7%,74.3%,25.7%,44.6%,38.5%,49.5%,2.7%,9.3%,0%,0.5%,1.6%,12.1%,0%,0%,0%,1.1%,Yes
0,0,0,6,1-1-1,44.1%,75.9%,24.1%,37.0%,35.1%,47.8%,9.0%,7.8%,0%,0.8%,3.3%,17.1%,0%,0%,0%,0.8%,Yes
0,0,0,7,0-0-0,27.9%,75.3%,24.7%,38.8%,37.5%,52.3%,3.3%,6.8%,0%,0.6%,1.3%,10.2%,0%,0.4%,0.1%,0%,Yes
0,0,0,7,1-0-0,30.6%,78.9%,21.1%,37.6%,38.9%,48.5%,3.8%,8.7%,0%,0.6%,1.4%,12.7%,0%,0.3%,0.0%,1.5%,Yes
0,0,0,7,0-1-0,34.1%,75.4%,24.6%,31.3%,41.3%,43.7%,4.7%,10.1%,0%,0.5%,1.4%,15.0%,0%,0.4%,0.1%,1.5%,Yes
0,0,0,7,1-1-0,33.1%,80.4%,19.6%,38.6%,38.5%,47.7%,3.2%,9.9%,0%,0.7%,1.2%,13.8%,0%,0.2%,0.1%,2.7%,Yes
0,0,0,7,1-0-1,37.0%,78.9%,21.1%,33.7%,41.6%,41.6%,7.0%,9.7%,0%,0%,1.6%,16.7%,0%,0%,0%,3.1%,Yes
0,0,0,7,0-1-1,30.5%,71.7%,28.3%,37.7%,43.1%,46.6%,3.4%,6.3%,0%,0%,0%,10.3%,0%,0.6%,0.6%,1.1%,Yes
0,0,0,7,1-1-1,37.1%,71.6%,28.4%,35.2%,38.4%,48.1%,5.5%,7.6%,0%,1.3%,3.4%,13.5%,0%,0.4%,0%,3.0%,Yes
