B,S,O,inning,base_state,P(Swing),P(Contact),P(Whiff),P(Foul),P(Ball),P(Strike),P(Hit),P(Out),P(Struck Out),P(Home Run),P(Extra Base Hit),P(In Play),P(Walk),P(Hit By Pitch),P(Error),P(Sacrifice),Statistically Relevant
0,0,0,8,0-0-0,28.7%,75.9%,24.1%,39.8%,37.5%,52.1%,3.4%,6.9%,0%,0.5%,1.1%,10.4%,0%,0.4%,0.1%,0%,Yes
0,0,0,8,1-0-0,30.0%,76.2%,23.8%,36.5%,39.5%,48.6%,3.9%,7.9%,0%,0.6%,1.5%,11.9%,0%,0.4%,0.1%,1.2%,Yes
0,0,0,8,0-1-0,33.2%,74.8%,25.2%,35.7%,36.5%,50.5%,3.3%,9.6%,0%,0.1%,0.8%,13.0%,0%,0.6%,0%,1.8%,Yes
0,0,0,8,1-1-0,31.5%,74.5%,25.5%,31.9%,39.4%,47.2%,4.0%,9.4%,0%,0.1%,0.8%,13.4%,0%,0.4%,0%,2.6%,Yes
0,0,0,8,1-0-1,38.9%,71.6%,28.4%,40.4%,37.5%,50.4%,3.9%,6.8%,0%,0.4%,1.1%,12.1%,0%,0.4%,0%,1.4%,Yes
0,0,0,8,0-1-1,39.1%,82.0%,18.0%,41.0%,31.4%,52.6%,3.8%,12.2%,0%,1.3%,2.6%,16.0%,0%,0%,0%,3.8%,Yes
0,0,0,8,1-1-1,35.8%,78.1%,21.9%,47.9%,44.0%,45.1%,2.2%,8.6%,0%,0.4%,0.7%,10.8%,0%,0.4%,0%,4.5%,Yes
0,0,0,9,0-0-0,28.9%,73.0%,27.0%,38.4%,37.4%,52.6%,3.2%,6.7%,0%,0.4%,1.2%,10.0%,0%,0.2%,0.1%,0%,Yes
0,0,0,9,1-0-0,32.4%,75.0%,25.0%,36.4%,37.6%,49.8%,4.0%,8.5%,0%,0.4%,1.1%,12.5%,0%,0.3%,0%,0.9%,Yes
0,0,0,9,0-1-0,36.4%,75.4%,24.6%,35.7%,35.9%,49.6%,4.6%,9.7%,0%,0.2%,1.2%,14.4%,0%,0.4%,0.2%,1.6%,Yes
0,0,0,9,1-1-0,31.0%,73.8%,26.2%,29.0%,41.0%,45.2%,3.3%,10.1%,0%,0.4%,1.7%,13.9%,0%,1.0%,0.1%,2.6%,Yes
0,0,0,9,1-0-1,36.0%,79.5%,20.5%,42.5%,41.4%,45.3%,3.4%,9.9%,0%,1.0%,1.0%,13.3%,0%,0%,0%,4.9%,Yes
0,0,0,9,0-1-1,37.8%,68.9%,31.1%,28.9%,40.3%,44.5%,5.0%,9.2%,0%,0.8%,1.7%,15.1%,0%,0%,0.8%,3.4%,Yes
0,0,0,9,1-1-1,40.1%,64.0%,36.0%,37.3%,32.6%,56.7%,3.7%,7.0%,0%,0.5%,1.1%,10.7%,0%,0%,0%,1.6%,Yes
0,0,1,1,0-0-0,28.1%,76.8%,23.2%,43.0%,37.5%,53.0%,3.1%,6.3%,0%,0.6%,1.2%,9.5%,0%,0.2%,0.1%,0%,Yes
0,0,1,1,1-0-0,29.7%,72.6%,27.4%,38.5%,39.6%,50.3%,3.8%,6.2%,0%,0.7%,1.3%,10.1%,0%,0.2%,0%,0.0%,Yes
0,0,1,1,0-1-0,32.9%,72.8%,27.2%,38.9%,39.9%,48.9%,3.3%,7.7%,0%,0.9%,1.4%,11.1%,0%,0.1%,0.1%,0%,Yes
0,0,1,1,0-0-1,40.2%,69.7%,30.3%,40.6%,35.9%,52.4%,3.9%,7.6%,0%,0.5%,1.5%,11.7%,0%,0%,0%,2.4%,Yes
0,0,1,1,1-1-0,33.2%,72.3%,27.7%,37.7%,36.5%,52.0%,3.8%,7.4%,0%,0.8%,1.4%,11.5%,0%,0.1%,0.1%,0%,Yes
0,0,1,1,1-0-1,36.4%,71.7%,28.3%,40.2%,41.0%,47.5%,3.4%,8.1%,0%,0.3%,1.2%,11.5%,0%,0.3%,0%,3.7%,Yes
0,0,1,1,0-1-1,35.3%,69.5%,30.5%,36.7%,42.7%,45.7%,3.9%,7.2%,0%,0.6%,0.8%,11.6%,0%,0.6%,0%,2.8%,Yes
0,0,1,1,1-1-1,35.3%,73.4%,26.6%,42.4%,37.9%,51.1%,2.7%,8.3%,0%,0.4%,1.3%,10.9%,0%,0%,0%,3.3%,Yes
0,0,1,2,0-0-0,25.9%,75.1%,24.9%,40.9%,37.4%,53.7%,2.9%,5.8%,0%,0.5%,1.1%,8.9%,0%,0.2%,0.1%,0%,Yes
0,0,1,2,1-0-0,29.8%,76.1%,23.9%,40.7%,37.3%,52.1%,3.9%,6.6%,0%,0.6%,1.4%,10.5%,0%,0.1%,0.0%,0.1%,Yes
0,0,1,2,0-1-0,32.0%,74.8%,25.2%,45.2%,39.3%,51.2%,2.9%,6.5%,0%,0.5%,1.1%,9.5%,0%,0.2%,0.1%,0%,Yes
0,0,1,2,0-0-1,36.9%,72.7%,27.3%,36.0%,38.3%,48.2%,4.2%,8.8%,0%,0.5%,1.2%,13.5%,0%,0.5%,0%,1.7%,Yes
0,0,1,2,1-1-0,32.4%,71.4%,28.6%,39.3%,35.0%,54.6%,3.3%,7.0%,0%,0.6%,1.1%,10.4%,0%,0.1%,0%,0.4%,Yes
0,0,1,2,1-0-1,39.6%,77.9%,22.1%,38.4%,34.4%,49.9%,5.8%,9.5%,0%,0.6%,2.3%,15.7%,0%,0.2%,0%,4.3%,Yes
0,0,1,2,0-1-1,40.8%,74.9%,25.1%,37.7%,41.1%,43.8%,3.9%,10.8%,0%,0.2%,2.2%,15.2%,0%,0.2%,0%,4.6%,Yes
0,0,1,2,1-1-1,36.3%,78.3%,21.7%,42.9%,39.3%,47.9%,4.3%,8.6%,0%,0.5%,0.9%,12.9%,0%,0.2%,0%,4.1%,Yes
0,0,1,3,0-0-0,28.2%,76.0%,24.0%,38.2%,37.9%,51.5%,3.4%,7.1%,0%,0.5%,1.3%,10.6%,0%,0.2%,0.1%,0%,Yes
0,0,1,3,1-0-0,34.6%,77.2%,22.8%,40.9%,38.5%,48.9%,4.2%,8.1%,0%,0.7%,1.6%,12.6%,0%,0.3%,0.1%,0.2%,Yes
0,0,1,3,0-1-0,33.9%,75.2%,24.8%,38.6%,41.4%,46.3%,4.4%,8.0%,0%,0.6%,1.8%,12.4%,0%,0.3%,0%,0%,Yes
0,0,1,3,0-0-1,42.6%,76.8%,23.2%,43.3%,38.5%,47.3%,4.6%,9.2%,0%,0.7%,1.5%,14.3%,0%,0%,0%,3.5%,Yes
0,0,1,3,1-1-0,36.5%,79.1%,20.9%,43.6%,39.4%,47.7%,3.5%,9.2%,0%,0.4%,1.1%,13.0%,0%,0.3%,0.1%,0%,Yes
0,0,1,3,1-0-1,44.9%,80.5%,19.5%,42.2%,35.3%,47.5%,5.7%,11.0%,0%,0.6%,1.3%,17.2%,0%,0.2%,0%,1.8%,Yes
0,0,1,3,0-1-1,46.0%,78.8%,21.2%,38.2%,34.5%,46.8%,7.0%,11.4%,0%,1.7%,2.2%,18.7%,0%,0.3%,0.3%,3.9%,Yes
0,0,1,3,1-1-1,41.2%,71.0%,29.0%,38.9%,38.4%,48.3%,5.1%,7.9%,0%,0.8%,1.5%,13.2%,0%,0%,0%,2.5%,Yes
0,0,1,4,0-0-0,30.3%,75.6%,24.4%,38.2%,37.1%,51.5%,3.6%,7.6%,0%,0.6%,1.4%,11.3%,0%,0.2%,0.1%,0%,Yes
0,0,1,4,1-0-0,36.1%,76.7%,23.3%,40.8%,37.4%,49.6%,4.7%,8.0%,0%,0.6%,1.6%,13.0%,0%,0.1%,0.1%,0.2%,Yes
0,0,1,4,0-1-0,36.8%,76.9%,23.1%,40.2%,38.0%,48.5%,4.4%,9.1%,0%,0.9%,2.1%,13.5%,0%,0.5%,0.1%,0%,Yes
0,0,1,4,0-0-1,48.3%,77.7%,22.3%,39.5%,36.2%,45.4%,7.0%,11.2%,0%,1.1%,3.1%,18.4%,0%,0.4%,0.2%,3.6%,Yes
0,0,1,4,1-1-0,36.9%,75.4%,24.6%,36.4%,38.2%,47.4%,5.0%,9.1%,0%,1.2%,2.4%,14.4%,0%,0.4%,0.1%,0.3%,Yes
0,0,1,4,1-0-1,41.2%,74.3%,25.7%,35.6%,36.7%,47.4%,4.1%,11.6%,0%,0.6%,0.9%,15.9%,0%,0.1%,0.1%,4.6%,Yes
0,0,1,4,0-1-1,37.4%,76.7%,23.3%,37.1%,42.8%,42.4%,4.5%,9.4%,0%,0.5%,2.4%,14.8%,0%,0%,0%,3.1%,Yes
0,0,1,4,1-1-1,40.3%,75.6%,24.4%,40.6%,37.6%,48.3%,3.4%,10.5%,0%,0.7%,2.0%,14.1%,0%,0%,0%,2.7%,Yes
0,0,1,5,0-0-0,31.1%,76.0%,24.0%,37.8%,36.4%,51.7%,4.0%,7.8%,0%,0.7%,1.5%,11.9%,0%,0.2%,0.1%,0%,Yes
0,0,1,5,1-0-0,34.8%,75.6%,24.4%,38.7%,37.5%,49.6%,4.2%,8.5%,0%,0.6%,1.4%,12.8%,0%,0.2%,0.0%,0.1%,Yes
0,0,1,5,0-1-0,33.5%,78.6%,21.4%,42.3%,39.7%,48.2%,3.7%,8.2%,0%,0.2%,0.9%,12.1%,0%,0.4%,0.3%,0%,Yes
0,0,1,5,0-0-1,39.0%,81.4%,18.6%,38.4%,37.9%,45.4%,6.3%,9.8%,0%,1.4%,2.0%,16.8%,0%,0.5%,0%,3.6%,Yes
0,0,1,5,1-1-0,37.7%,75.2%,24.8%,39.2%,38.4%,48.0%,3.8%,9.8%,0%,0.5%,1.6%,13.6%,0%,0.3%,0%,0%,Yes
0,0,1,5,1-0-1,38.6%,76.9%,23.1%,40.2%,37.2%,48.6%,4.3%,9.7%,0%,0.5%,1.2%,14.2%,0%,0.3%,0%,3.2%,Yes
0,0,1,5,0-1-1,41.9%,76.3%,23.7%,45.8%,40.5%,46.7%,2.8%,9.0%,0%,0.5%,1.2%,12.8%,0%,0.2%,0%,3.6%,Yes
0,0,1,5,1-1-1,40.2%,72.9%,27.1%,40.4%,38.0%,48.9%,4.3%,8.5%,0%,0.6%,2.8%,13.0%,0%,0.4%,0%,3.0%,Yes
0,0,1,6,0-0-0,30.8%,76.2%,23.8%,40.7%,38.4%,50.6%,3.1%,7.6%,0%,0.5%,1.2%,10.9%,0%,0.3%,0.2%,0%,Yes
0,0,1,6,1-0-0,33.6%,76.3%,23.7%,39.3%,39.6%,48.0%,4.0%,8.3%,0%,0.5%,1.5%,12.4%,0%,0.3%,0.0%,0.2%,Yes
0,0,1,6,0-1-0,32.3%,74.2%,25.8%,37.7%,40.2%,48.0%,4.1%,7.7%,0%,0.9%,1.6%,11.8%,0%,0.4%,0%,0%,Yes
0,0,1,6,0-0-1,42.5%,67.4%,32.6%,35.3%,38.7%,47.7%,3.1%,9.6%,0%,0%,0.7%,13.6%,0%,0.2%,0.2%,3.4%,Yes
0,0,1,6,1-1-0,35.8%,74.8%,25.2%,40.8%,37.9%,49.9%,3.8%,8.1%,0%,0.5%,1.6%,12.2%,0%,0.5%,0.1%,0%,Yes
0,0,1,6,1-0-1,42.7%,75.6%,24.4%,41.6%,36.6%,48.9%,4.3%,10.0%,0%,0.7%,2.1%,14.5%,0%,0.3%,0%,1.9%,Yes
0,0,1,6,0-1-1,38.6%,75.2%,24.8%,39.2%,38.1%,48.0%,5.6%,7.6%,0%,0.3%,1.8%,13.9%,0%,0%,0.5%,3.0%,Yes
0,0,1,6,1-1-1,39.0%,70.2%,29.8%,36.1%,37.7%,49.0%,5.3%,7.8%,0%,0.6%,2.3%,13.3%,0%,0.8%,0.2%,2.9%,Yes
0,0,1,7,0-0-0,29.7%,73.0%,27.0%,39.8%,37.9%,52.2%,3.2%,6.5%,0%,0.6%,1.3%,9.9%,0%,0.2%,0.1%,0%,Yes
0,0,1,7,1-0-0,32.0%,73.5%,26.5%,38.8%,38.2%,50.7%,4.0%,7.1%,0%,0.5%,1.4%,11.1%,0%,0.5%,0.0%,0.1%,Yes
0,0,1,7,0-1-0,32.9%,72.7%,27.3%,40.4%,40.1%,49.3%,2.8%,7.6%,0%,0.1%,0.5%,10.6%,0%,0.4%,0.2%,0%,Yes
0,0,1,7,0-0-1,38.8%,80.3%,19.7%,38.7%,42.2%,41.6%,5.4%,10.5%,0%,0.6%,2.0%,16.1%,0%,0.6%,0.3%,4.5%,Yes
0,0,1,7,1-1-0,33.6%,71.2%,28.8%,35.4%,38.4%,49.7%,4.3%,7.5%,0%,0.6%,1.6%,12.0%,0%,0.4%,0%,0.1%,Yes
0,0,1,7,1-0-1,38.4%,74.2%,25.8%,39.7%,35.1%,51.7%,4.7%,7.9%,0%,0.6%,1.4%,13.3%,0%,0.5%,0%,2.7%,Yes
0,0,1,7,0-1-1,39.4%,71.5%,28.5%,36.1%,39.2%,46.9%,5.0%,8.7%,0%,0.5%,1.5%,14.0%,0%,1.0%,0%,2.5%,Yes
0,0,1,7,1-1-1,35.7%,71.2%,28.8%,39.1%,40.0%,48.6%,4.3%,6.6%,0%,0.7%,1.5%,11.4%,0%,0.8%,0%,2.3%,Yes
0,0,1,8,0-0-0,30.0%,73.1%,26.9%,38.8%,37.2%,52.5%,3.2%,6.9%,0%,0.5%,1.0%,10.3%,0%,0.4%,0.1%,0%,Yes
0,0,1,8,1-0-0,33.2%,73.1%,26.9%,39.8%,37.1%,51.8%,4.1%,7.0%,0%,0.5%,1.2%,11.1%,0%,0.3%,0%,0.0%,Yes
0,0,1,8,0-1-0,32.3%,75.2%,24.8%,39.5%,40.8%,47.7%,3.2%,8.1%,0%,0.5%,0.9%,11.5%,0%,0.1%,0.1%,0.1%,Yes
0,0,1,8,0-0-1,41.5%,72.7%,27.3%,44.6%,35.5%,52.8%,3.9%,7.5%,0%,0.3%,0.3%,11.6%,0%,0.3%,0%,2.4%,Yes
0,0,1,8,1-1-0,31.4%,68.6%,31.4%,33.4%,40.4%,48.5%,3.3%,7.6%,0%,0.4%,1.1%,11.0%,0%,0.2%,0%,0%,Yes
0,0,1,8,1-0-1,37.1%,79.3%,20.7%,45.4%,41.1%,46.4%,4.3%,7.5%,0%,0.6%,1.3%,12.6%,0%,0.7%,0.3%,2.5%,Yes
0,0,1,8,0-1-1,42.0%,72.9%,27.1%,42.4%,34.2%,53.0%,5.2%,7.1%,0%,0.2%,0.7%,12.8%,0%,0.5%,0.2%,2.6%,Yes
0,0,1,8,1-1-1,33.1%,76.8%,23.2%,43.9%,41.1%,48.1%,3.8%,6.8%,0%,0.2%,1.3%,10.9%,0%,0.5%,0%,2.8%,Yes
0,0,1,9,0-0-0,31.2%,69.7%,30.3%,36.4%,38.3%,51.4%,3.4%,6.9%,0%,0.5%,1.2%,10.4%,0%,0.2%,0.1%,0%,Yes
0,0,1,9,1-0-0,32.2%,71.9%,28.1%,39.4%,38.8%,50.8%,3.8%,6.4%,0%,0.6%,1.5%,10.4%,0%,0.2%,0.1%,0%,Yes
0,0,1,9,0-1-0,35.9%,71.2%,28.8%,40.1%,39.0%,49.8%,3.2%,7.7%,0%,0.1%,0.9%,11.1%,0%,0.2%,0.1%,0%,Yes
0,0,1,9,0-0-1,44.9%,72.6%,27.4%,26.6%,38.0%,41.3%,6.5%,13.8%,0%,0.4%,2.2%,20.7%,0%,0.4%,0%,2.9%,Yes
0,0,1,9,1-1-0,34.9%,72.2%,27.8%,36.6%,39.2%,48.4%,3.7%,8.6%,0%,0.3%,1.6%,12.4%,0%,0.7%,0%,0%,Yes
0,0,1,9,1-0-1,37.0%,76.2%,23.8%,39.9%,40.1%,46.5%,4.6%,8.8%,0%,0.4%,1.3%,13.4%,0%,0.7%,0%,2.4%,Yes
0,0,1,9,0-1-1,43.1%,73.2%,26.8%,37.7%,34.7%,50.0%,5.3%,9.1%,0%,0%,1.2%,15.3%,0%,0%,0.3%,2.5%,Yes
0,0,1,9,1-1-1,40.2%,71.2%,28.8%,38.9%,33.9%,53.1%,4.1%,8.9%,0%,0.8%,1.0%,13.0%,0%,0.8%,0%,3.7%,Yes
0,0,2,1,0-0-0,27.2%,73.5%,26.5%,39.2%,38.1%,52.6%,3.0%,6.2%,0%,0.5%,1.1%,9.3%,0%,0.2%,0.1%,0%,Yes
0,0,2,1,1-0-0,29.4%,72.5%,27.5%,39.9%,39.2%,51.3%,3.5%,6.0%,0%,0.7%,1.7%,9.6%,0%,0.2%,0.0%,0%,Yes
0,0,2,1,0-1-0,29.9%,74.0%,26.0%,40.6%,37.5%,52.6%,3.3%,6.6%,0%,0.4%,1.2%,10.0%,0%,0.3%,0.1%,0%,Yes
0,0,2,1,0-0-1,31.5%,65.1%,34.9%,40.9%,41.0%,51.4%,3.4%,4.2%,0%,0.4%,0.5%,7.6%,0%,0.1%,0%,0%,Yes
0,0,2,1,1-1-0,30.5%,69.8%,30.2%,41.1%,38.7%,52.6%,2.9%,5.8%,0%,0.5%,1.2%,8.7%,0%,0.1%,0%,0%,Yes
0,0,2,1,1-0-1,31.8%,68.0%,32.0%,33.5%,39.3%,49.7%,3.0%,8.0%,0%,0.5%,1.3%,11.0%,0%,0.3%,0%,0%,Yes
0,0,2,1,0-1-1,28.6%,64.4%,35.6%,36.4%,42.6%,49.4%,3.5%,4.3%,0%,0.6%,1.9%,8.0%,0%,0.2%,0.2%,0%,Yes
0,0,2,1,1-1-1,30.0%,75.6%,24.4%,36.0%,40.2%,47.9%,4.7%,7.1%,0%,0.5%,1.6%,11.8%,0%,0.5%,0%,0%,Yes
0,0,2,2,0-0-0,27.5%,75.7%,24.3%,41.9%,37.5%,53.2%,2.8%,6.4%,0%,0.4%,1.0%,9.3%,0%,0.2%,0.1%,0%,Yes
0,0,2,2,1-0-0,32.0%,76.0%,24.0%,39.7%,37.6%,50.8%,4.2%,7.4%,0%,0.6%,1.5%,11.6%,0%,0.1%,0.1%,0%,Yes
